"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","feature_rank"
"384","INTS4",6.05248298175606,1.07599266835328,17.1981705869279,0.00311531626549042,0.00934594879647125,0.112426035502959,0.0467597677702809,"NPP_SCN7A+",3
"385","RASGEF1B",7.08130073805012,1.26082637883309,15.3832735326955,0.00424139315389714,0.00954313459626856,0.189349112426035,0.0806527538051153,"NPP_SCN7A+",4
"386","PLD5",6.19637646970477,1.44574191657328,14.1283257857431,0.00537554715598185,0.00967598488076733,0.124260355029586,0.0386003452063392,"NPP_SCN7A+",5
"387","RGS6",6.70939008118482,1.16859253438925,9.34197118373949,0.0153220420172531,0.0229830630258797,0.100591715976331,0.0655892044563,"NPP_SCN7A+",6
"388","PCDHAC1",4.64222425754376,1.55000693073417,6.46902830082112,0.0340910736262864,0.0438313803766539,0.14792899408284,0.0925780637062608,"NPP_SCN7A+",7
"389","PCDHGA3",3.08049034016885,1.17444212376429,2.33591587503829,0.154643413136704,0.173973839778792,0.106508875739645,0.0635493488153146,"NPP_SCN7A+",8
"390","PCDHGA5",3.02259450138174,1.25954328076676,2.0725593641411,0.177812923192247,0.177812923192247,0.106508875739645,0.0619802290914797,"NPP_SCN7A+",9
"391","TOX",8.84195594910192,2.82112253037242,2033.30295476758,3.38688213546819e-13,2.57403042295582e-11,0.668238993710692,0.166271588215374,"NPP_TOX+",1
"392","CDKAL1",9.84257674345697,2.09875512174669,1691.47789265655,8.71674491973954e-13,3.31236306950102e-11,0.709119496855346,0.334575008465967,"NPP_TOX+",2
"393","THSD7A",7.88193167352245,2.65283459607467,1261.31562471496,3.9270466436485e-12,8.97239793219967e-11,0.413522012578616,0.0993904503894345,"NPP_TOX+",3
"394","ADGRL3",9.60043290444087,2.01212514039954,1216.69197333912,4.72231470115772e-12,8.97239793219967e-11,0.699685534591195,0.285133762275652,"NPP_TOX+",4
"395","NPAS3",7.63610921368421,2.46123383221041,940.850394964082,1.7603092402781e-11,2.67567004522271e-10,0.345911949685535,0.0958347443278022,"NPP_TOX+",5
