"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"262","KCNN2",10.1242895568808,2.4992859493994,25.5366487509002,1.49970041530344e-06,0.0019196165315884,0.365853658536585,0.266666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"263","AUTS2",11.6374835754262,1.2259528224724,25.3033323464653,1.66462563634306e-06,0.00201857761375495,0.658536585365854,0.866666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"264","LINC02315",10.0156873626956,2.60547895094264,24.7299151361021,2.11997539377967e-06,0.00244221165363418,0.414634146341463,0.266666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"265","KALRN",10.6550694546789,1.7749536644955,23.7748951557677,3.23025527990826e-06,0.00354405150709935,0.567073170731707,0.533333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"266","AC104041.1",10.1347947262672,2.30988445226985,23.485352288158,3.65618297698632e-06,0.00367968117605224,0.439024390243902,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"267","SLC38A1",10.0586198400185,2.42076665246055,23.4717900494428,3.67329284067715e-06,0.00367968117605224,0.463414634146341,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"268","MT-CO1",11.4118039151921,1.2162488013466,21.9236692093236,7.28489314294267e-06,0.00699349741722496,0.682926829268293,0.866666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"269","TENM4",8.88322595977512,6.54062577198377,21.1133778153756,1.05790088482822e-05,0.00938380840373298,0.231707317073171,0,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"270","ADAMTS6",9.7912451600683,2.59513610238477,21.0672412930166,1.05893671222681e-05,0.00938380840373298,0.292682926829268,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"271","FP671120.4",12.8254051015341,0.75945366806991,20.9609517593456,1.11779627805835e-05,0.00953852823943121,0.878048780487805,1,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"272","UNC5C",10.4710006798292,1.72670763594371,19.4839831652341,2.17204993391695e-05,0.0178728680276595,0.51219512195122,0.6,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"273","PTPRG",10.4794709197666,1.65999985040838,19.013204004007,2.68902954832502e-05,0.0206423659437231,0.50609756097561,0.533333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"274","HMGA2",9.80625850477454,2.34676182418377,18.9811029236895,2.717779215085e-05,0.0206423659437231,0.390243902439024,0.333333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"275","MT-ND5",10.4244942926301,1.68423091865368,18.9420215534563,2.77740166777524e-05,0.0206423659437231,0.536585365853659,0.666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
